filename,label
t1152875447.454317_x-10.374626_y3.146972_a3.063733.jpeg,1PO-A
t1152908073.543475_x-11.238915_y3.992535_a1.186634.jpeg,1PO-A
t1152875462.755275_x-10.291304_y3.256386_a-0.861141.jpeg,1PO-A
t1152889829.539580_x-9.758728_y2.966665_a-0.279812.jpeg,1PO-A
t1152889822.603147_x-10.920935_y4.077083_a-0.163614.jpeg,1PO-A
t1152875444.394126_x-9.683141_y3.071312_a3.089069.jpeg,1PO-A
t1152889825.255335_x-10.554497_y3.532082_a-0.924543.jpeg,1PO-A
t1152908076.399652_x-10.678727_y3.684868_a-0.833966.jpeg,1PO-A
t1152889817.718842_x-11.196891_y3.460386_a2.712107.jpeg,1PO-A
t1152875470.303745_x-8.728055_y2.806752_a0.066998.jpeg,1PO-A
t1152875439.497819_x-8.648755_y2.912689_a2.936677.jpeg,1PO-A
t1152908071.299448_x-11.337406_y3.501182_a2.623903.jpeg,1PO-A
t1152908069.055193_x-10.860499_y3.275116_a2.744378.jpeg,1PO-A
t1152908086.192264_x-8.850862_y2.847834_a0.007687.jpeg,1PO-A
t1152875456.838907_x-10.721163_y3.800637_a-0.543531.jpeg,1PO-A
t1152908063.138823_x-9.534703_y3.029748_a-3.140522.jpeg,1PO-A
t1152889813.638685_x-10.333344_y3.067024_a2.875978.jpeg,1PO-A
t1152875446.638463_x-10.195372_y3.131796_a3.071830.jpeg,1PO-A
t1152875456.022853_x-10.717015_y3.811222_a-0.487288.jpeg,1PO-A
t1152875462.551261_x-10.314814_y3.283471_a-0.862158.jpeg,1PO-A
t1152875459.083045_x-10.667204_y3.727787_a-0.699186.jpeg,1PO-A
t1152889815.882727_x-10.811031_y3.286959_a2.712950.jpeg,1PO-A
t1152875449.698462_x-10.880862_y3.290308_a2.909314.jpeg,1PO-A
t1152889815.474700_x-10.724853_y3.250329_a2.719659.jpeg,1PO-A
t1152889829.131556_x-9.866491_y2.984329_a-0.344717.jpeg,1PO-A
t1152889811.598459_x-9.911586_y2.940818_a3.100784.jpeg,1PO-A
t1152889815.678716_x-10.770048_y3.269702_a2.719381.jpeg,1PO-A
t1152908080.479907_x-10.059322_y3.035366_a-0.675664.jpeg,1PO-A
t1152875458.062979_x-10.727921_y3.788889_a-0.628079.jpeg,1PO-A
t1152908078.235962_x-10.409521_y3.365193_a-0.899510.jpeg,1PO-A
t1152889832.803784_x-8.979920_y2.956179_a-0.022814.jpeg,1PO-A
t1152908078.439781_x-10.382126_y3.330649_a-0.899671.jpeg,1PO-A
t1152875440.721999_x-8.879487_y2.963625_a2.926698.jpeg,1PO-A
t1152889833.007797_x-8.925192_y2.942294_a-0.080080.jpeg,1PO-A
t1152875465.815468_x-9.814332_y2.831246_a-0.601748.jpeg,1PO-A
t1152889823.827322_x-10.755879_y3.787552_a-0.913744.jpeg,1PO-A
t1152875454.594772_x-10.696952_y3.930328_a0.115403.jpeg,1PO-A
t1152908064.770925_x-9.927396_y3.045374_a3.140556.jpeg,1PO-A
t1152889829.743595_x-9.705632_y2.951666_a-0.279502.jpeg,1PO-A
t1152889831.783720_x-9.244594_y2.962039_a-0.017593.jpeg,1PO-A
t1152908067.627103_x-10.564736_y3.134259_a2.928047.jpeg,1PO-A
t1152889814.862663_x-10.626207_y3.208072_a2.720313.jpeg,1PO-A
t1152908070.279270_x-11.120882_y3.378557_a2.742276.jpeg,1PO-A
t1152889831.579710_x-9.284806_y2.963718_a-0.012970.jpeg,1PO-A
t1152875445.822215_x-10.005347_y3.106744_a3.073522.jpeg,1PO-A
t1152908062.526976_x-9.416765_y3.030179_a-3.133965.jpeg,1PO-A
t1152889815.066676_x-10.655857_y3.224180_a2.717367.jpeg,1PO-A
t1152875451.534782_x-11.279322_y3.544015_a2.431854.jpeg,1PO-A
t1152908067.219078_x-10.487550_y3.107307_a2.953052.jpeg,1PO-A
t1152889816.494764_x-10.956045_y3.351682_a2.705138.jpeg,1PO-A
t1152889810.374403_x-9.635245_y2.924260_a3.102592.jpeg,1PO-A
t1152889825.459426_x-10.521428_y3.489524_a-0.926772.jpeg,1PO-A
t1152875439.293807_x-8.604523_y2.903948_a2.937082.jpeg,1PO-A
t1152875462.143235_x-10.360448_y3.338605_a-0.854117.jpeg,1PO-A
t1152875446.230438_x-10.104410_y3.122149_a3.073078.jpeg,1PO-A
